"sample_id" "coord_x" "coord_y" "clay" "carbon" "ecec"
"sm-dnos-137" 227499.84047513 6717482.75477536 86 7.20720720720721 3.3
"sm-dnos-138" 227980.152513373 6717497.3087743 83 7.20720720720721 2.2
"sm-dnos-139" 228278.300194039 6717638.7743728 126 8.10810810810811 3.1
"sm-dnos-140" 230131.348339965 6717696.30866645 319 79.2792792792793 24.5
"sm-dnos-141" 229841.485045117 6717552.09916563 171 12.6126126126126 12.5
"sm-dnos-142" 230044.83392473 6717940.72013737 298 53.1531531531531 27.2
"sm-dnos-143" 230269.034238858 6718136.03653643 298 53.1531531531531 21.7
"sm-dnos-144" 230022.397990352 6718176.1361064 295 30.6306306306306 32.5
"sm-dnos-145" 230306.604728794 6718443.45008175 360 90.0900900900901 47.9
"sm-dnos-146" 230563.776426651 6718360.33306514 232 23.4234234234234 16.5
"sm-dnos-147" 231827.458027476 6717815.78608647 268 21.6216216216216 6.4
"sm-dnos-148" 231537.552033406 6717826.26162359 144 20.7207207207207 7.1
"sm-dnos-149" 231247.233874242 6717942.77155222 121 22.5225225225225 11.4
"sm-dnos-150" 231172.364503501 6718163.28526982 161 19.8198198198198 10.7
"sm-dnos-151" 231497.468528378 6718120.04896607 324 26.1261261261261 6.9
"sm-dnos-152" 231789.510207208 6718077.34356384 316 16.2162162162162 5.7
"sm-dnos-153" 231412.570816311 6718419.52943371 764 44.1441441441441 10.2
"sm-dnos-154" 231803.366300339 6718373.08741692 405 16.2162162162162 5.4
"sm-dnos-155" 231715.311318356 6718654.96662621 390 18.018018018018 4.8
"sm-dnos-156" 231238.016750874 6718949.70803783 132 18.018018018018 7.9
"sm-dnos-157" 231631.98431531 6718949.71582702 238 25.2252252252252 7.1
"sm-dnos-158" 231575.964166238 6719237.2422419 456 18.018018018018 6.1
"sm-dnos-159" 229521.193409638 6717697.24063548 120 12.6126126126126 20
"sm-dnos-160" 229324.111848262 6717916.68112618 255 27.027027027027 8.7
"sm-dnos-161" 229678.084112102 6717878.18819799 82 10.8108108108108 5
"sm-dnos-162" 229541.921392608 6718091.22518457 314 28.8288288288288 20
"sm-dnos-163" 229722.980068619 6718174.46687778 70 7.20720720720721 3.2
"sm-dnos-164" 229607.598044999 6718433.93263675 123 10.8108108108108 12.6
"sm-dnos-165" 229532.777226486 6718638.90913477 78 7.20720720720721 2.7
"sm-dnos-166" 229637.064537799 6718650.74316086 48 4.5045045045045 0.8
"sm-dnos-167" 229872.994510311 6718846.34939036 94 9.90990990990991 21.2
"sm-dnos-168" 229915.180216391 6718571.69502117 277 54.9549549549549 28.2
"sm-dnos-169" 228130.932378092 6717769.32160922 118 9.00900900900901 3.5
"sm-dnos-170" 229825.064486152 6715649.51212044 58 5.40540540540541 3.8
"sm-dnos-171" 229816.342690025 6715456.83027648 38 4.5045045045045 4.2
"sm-dnos-172" 229920.108194897 6715509.1431035 47 5.40540540540541 5
"sm-dnos-173" 230107.512005052 6715600.74493746 180 13.5135135135135 5.3
"sm-dnos-174" 229791.981852012 6715928.37982203 92 9.00900900900901 15.1
"sm-dnos-175" 230056.866981681 6715969.37901423 76 11.7117117117117 5
"sm-dnos-176" 230377.684713316 6716407.86328461 63 7.20720720720721 2.7
"sm-dnos-177" 230577.226485035 6716603.91413001 104 21.6216216216216 33.4
"sm-dnos-178" 230507.571433105 6716840.96787656 244 71.1711711711712 22.4
"sm-dnos-179" 230831.793820656 6716917.76287702 170 12.6126126126126 10.5
"sm-dnos-180" 230997.363202357 6717209.72191284 137 22.5225225225225 6
"sm-dnos-181" 231083.667666329 6717417.13056043 190 25.2252252252252 7.3
"sm-dnos-182" 231202.233008994 6717608.89396945 105 11.7117117117117 7.5
"sm-dnos-183" 231572.627156987 6717608.01018755 176 12.6126126126126 10.3
